date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:35	14740/14740	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2012:32:10%20GMT	https://quomodosoft.com/html/jupiter/?storefront=envato-elements	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/index04b9.html	(from )
01:13:37	117/117	---MCZ	200	added ('OK')	text/plain	date:Sun,%2005%20Oct%202025%2000:13:33%20GMT	https://quomodosoft.com/robots.txt		(from )
01:13:37	19086/19086	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Nov%202019%2009:03:56%20GMT	https://quomodosoft.com/html/jupiter/images/favicon.png	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/images/favicon.png	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:37	121200/121200	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jul%202016%2011:53:28%20GMT	https://quomodosoft.com/html/jupiter/css/bootstrap-min.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/bootstrap-min.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:38	8980/8980	---MCZ	200	added ('OK')	text/css	date:Sun,%2006%20Jan%202019%2022:37:08%20GMT	https://quomodosoft.com/html/jupiter/css/normalize.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/normalize.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:39	5622/5622	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202017%2005:58:16%20GMT	https://quomodosoft.com/html/jupiter/css/owl-carousel-min.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/owl-carousel-min.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:39	116665/116665	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Jan%202019%2008:05:30%20GMT	https://quomodosoft.com/html/jupiter/css/icofont.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/icofont.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:39	79796/79796	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Jan%202019%2008:36:40%20GMT	https://quomodosoft.com/html/jupiter/css/animate.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/animate.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:39	1472/1472	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2011:54:30%20GMT	https://quomodosoft.com/html/jupiter/css/helper.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/helper.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
01:13:39	6184/6184	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2011:52:00%20GMT	https://quomodosoft.com/html/jupiter/css/theme.css	C:/Projetos/LandingpageOestagiario/landingpage/quomodosoft.com/html/jupiter/css/theme.css	(from https://quomodosoft.com/html/jupiter/?storefront=envato-elements)
